date,temperature,precipitation,city,country,continent,latitude,longitude
1991-01-25,20.9,0.0,Bangalore,India,Asia,26.3,73.0167
1991-01-26,21.2,0.0,Bangalore,India,Asia,26.3,73.0167
1991-01-27,21.8,0.0,Bangalore,India,Asia,26.3,73.0167
1991-01-30,19.1,0.0,Bangalore,India,Asia,26.3,73.0167
1991-01-31,21.3,0.0,Bangalore,India,Asia,26.3,73.0167
1991-02-02,24.6,0.0,Bangalore,India,Asia,26.3,73.0167
1991-02-03,24.7,0.0,Bangalore,India,Asia,26.3,73.0167
1991-02-04,23.6,0.0,Bangalore,India,Asia,26.3,73.0167
1991-02-05,23.6,0.0,Bangalore,India,Asia,26.3,73.0167
1991-02-07,22.7,0.0,Bangalore,India,Asia,26.3,73.0167
1991-02-08,22.8,0.0,Bangalore,India,Asia,26.3,73.0167
1991-02-09,22.7,0.0,Bangalore,India,Asia,26.3,73.0167
1991-02-10,23.9,0.0,Bangalore,India,Asia,26.3,73.0167
1991-02-11,24.4,0.0,Bangalore,India,Asia,26.3,73.0167
1991-02-12,23.9,0.0,Bangalore,India,Asia,26.3,73.0167
1991-02-14,24.3,0.0,Bangalore,India,Asia,26.3,73.0167
1991-02-15,24.2,0.0,Bangalore,India,Asia,26.3,73.0167
1991-02-16,25.1,0.0,Bangalore,India,Asia,26.3,73.0167
1991-02-17,24.4,0.0,Bangalore,India,Asia,26.3,73.0167
1991-02-18,25.6,0.0,Bangalore,India,Asia,26.3,73.0167
1991-02-19,24.5,0.0,Bangalore,India,Asia,26.3,73.0167
1991-02-20,24.3,0.0,Bangalore,India,Asia,26.3,73.0167
1991-02-21,23.1,0.0,Bangalore,India,Asia,26.3,73.0167
1991-02-22,23.9,0.0,Bangalore,India,Asia,26.3,73.0167
1991-02-23,23.6,0.0,Bangalore,India,Asia,26.3,73.0167
1991-02-24,24.3,0.0,Bangalore,India,Asia,26.3,73.0167
1991-02-25,22.2,0.0,Bangalore,India,Asia,26.3,73.0167
1991-02-26,24.2,0.0,Bangalore,India,Asia,26.3,73.0167
1991-02-28,24.8,0.0,Bangalore,India,Asia,26.3,73.0167
1991-03-03,25.6,0.0,Bangalore,India,Asia,26.3,73.0167
1991-03-04,26.3,0.0,Bangalore,India,Asia,26.3,73.0167
1991-03-05,26.9,0.0,Bangalore,India,Asia,26.3,73.0167
1991-03-07,27.1,0.0,Bangalore,India,Asia,26.3,73.0167
1991-03-10,27.6,0.0,Bangalore,India,Asia,26.3,73.0167
1991-03-12,27.5,0.0,Bangalore,India,Asia,26.3,73.0167
1991-03-13,28.9,0.0,Bangalore,India,Asia,26.3,73.0167
1991-03-15,28.4,0.0,Bangalore,India,Asia,26.3,73.0167
1991-03-18,27.1,0.0,Bangalore,India,Asia,26.3,73.0167
1991-03-19,27.6,0.0,Bangalore,India,Asia,26.3,73.0167
1991-03-21,28.7,0.0,Bangalore,India,Asia,26.3,73.0167
1991-03-22,29.4,0.0,Bangalore,India,Asia,26.3,73.0167
1991-03-23,27.7,0.0,Bangalore,India,Asia,26.3,73.0167
1991-03-24,26.4,0.0,Bangalore,India,Asia,26.3,73.0167
1991-03-25,28.5,0.0,Bangalore,India,Asia,26.3,73.0167
1991-03-26,27.1,0.0,Bangalore,India,Asia,26.3,73.0167
1991-03-27,26.7,0.0,Bangalore,India,Asia,26.3,73.0167
1991-03-28,25.3,0.0,Bangalore,India,Asia,26.3,73.0167
1991-03-29,26.6,0.0,Bangalore,India,Asia,26.3,73.0167
1991-03-30,28.7,0.0,Bangalore,India,Asia,26.3,73.0167
1991-03-31,28.7,0.0,Bangalore,India,Asia,26.3,73.0167
1991-04-01,26.7,0.0,Bangalore,India,Asia,26.3,73.0167
1991-04-02,27.4,0.0,Bangalore,India,Asia,26.3,73.0167
1991-04-03,28.4,0.0,Bangalore,India,Asia,26.3,73.0167
1991-04-04,27.7,0.0,Bangalore,India,Asia,26.3,73.0167
1991-04-07,25.9,10.7,Bangalore,India,Asia,26.3,73.0167
1991-04-08,25.4,0.0,Bangalore,India,Asia,26.3,73.0167
1991-04-09,22.8,6.1,Bangalore,India,Asia,26.3,73.0167
1991-04-11,27.3,7.9,Bangalore,India,Asia,26.3,73.0167
1991-04-14,27.5,0.0,Bangalore,India,Asia,26.3,73.0167
1991-04-15,28.5,0.0,Bangalore,India,Asia,26.3,73.0167
1991-04-16,28.9,0.0,Bangalore,India,Asia,26.3,73.0167
1991-04-17,27.7,0.0,Bangalore,India,Asia,26.3,73.0167
1991-04-18,28.2,0.0,Bangalore,India,Asia,26.3,73.0167
1991-04-19,29.5,0.0,Bangalore,India,Asia,26.3,73.0167
1991-04-21,25.2,7.1,Bangalore,India,Asia,26.3,73.0167
1991-04-22,26.9,0.0,Bangalore,India,Asia,26.3,73.0167
1991-04-23,29.2,0.3,Bangalore,India,Asia,26.3,73.0167
1991-04-24,28.7,0.0,Bangalore,India,Asia,26.3,73.0167
1991-04-27,27.7,1.3,Bangalore,India,Asia,26.3,73.0167
1991-04-28,27.2,0.0,Bangalore,India,Asia,26.3,73.0167
1991-04-30,27.9,0.0,Bangalore,India,Asia,26.3,73.0167
1991-05-01,26.6,0.0,Bangalore,India,Asia,26.3,73.0167
1991-05-02,29.4,0.0,Bangalore,India,Asia,26.3,73.0167
1991-05-04,23.9,18.8,Bangalore,India,Asia,26.3,73.0167
1991-05-05,26.7,1.3,Bangalore,India,Asia,26.3,73.0167
1991-05-07,28.3,12.2,Bangalore,India,Asia,26.3,73.0167
1991-05-10,26.9,91.9,Bangalore,India,Asia,26.3,73.0167
1991-05-14,27.2,0.0,Bangalore,India,Asia,26.3,73.0167
1991-05-18,29.6,0.0,Bangalore,India,Asia,26.3,73.0167
1991-05-21,29.7,0.0,Bangalore,India,Asia,26.3,73.0167
1991-05-25,26.8,0.0,Bangalore,India,Asia,26.3,73.0167
1991-06-02,27.3,0.0,Bangalore,India,Asia,26.3,73.0167
1991-06-08,22.4,0.0,Bangalore,India,Asia,26.3,73.0167
1991-06-12,23.2,0.0,Bangalore,India,Asia,26.3,73.0167
1991-06-13,25.0,0.0,Bangalore,India,Asia,26.3,73.0167
1991-06-14,25.9,7.9,Bangalore,India,Asia,26.3,73.0167
1991-06-15,24.3,0.5,Bangalore,India,Asia,26.3,73.0167
1991-06-17,23.4,0.5,Bangalore,India,Asia,26.3,73.0167
1991-06-22,24.7,10.9,Bangalore,India,Asia,26.3,73.0167
1991-06-27,22.5,3.3,Bangalore,India,Asia,26.3,73.0167
1991-06-28,22.2,0.5,Bangalore,India,Asia,26.3,73.0167
1991-06-29,24.2,0.0,Bangalore,India,Asia,26.3,73.0167
1991-07-01,22.4,0.0,Bangalore,India,Asia,26.3,73.0167
1991-07-02,24.2,0.0,Bangalore,India,Asia,26.3,73.0167
1991-07-04,22.8,0.0,Bangalore,India,Asia,26.3,73.0167
1991-07-06,21.8,10.9,Bangalore,India,Asia,26.3,73.0167
1991-07-07,22.4,0.0,Bangalore,India,Asia,26.3,73.0167
1991-07-11,21.6,0.8,Bangalore,India,Asia,26.3,73.0167
1991-07-12,21.9,6.4,Bangalore,India,Asia,26.3,73.0167
